Value_SP500_REAL_PRICE_MONTH,Value_SP500_DIV_YIELD_MONTH,Value_SP500_PE_RATIO_MONTH,Value_SHILLER_PE_RATIO_MONTH,Value_SP500_EARNINGS_YIELD_MONTH,Value_SP500_INFLADJ_MONTH,Value_SP500_PSR_QUARTER,Value_SP500_DIV_MONTH,Value_SP500_DIV_YEAR,Value_SP500_DIV_GROWTH_YEAR,Value_SP500_DIV_GROWTH_QUARTER,Value_SP500_PBV_RATIO_QUARTER,Value_SHILLER_PE_RATIO_YEAR,Value_SP500_PE_RATIO_YEAR,Value_SP500_DIV_YIELD_YEAR,Value_SP500_PSR_YEAR,Value_SP500_EARNINGS_YIELD_YEAR,Value_SP500_PBV_RATIO_YEAR,Value_SP500_INFLADJ_YEAR,Value_SP500_SALES_YEAR,Value_SP500_SALES_GROWTH_YEAR,Value_SP500_SALES_QUARTER,Value_SP500_REAL_SALES_GROWTH_QUARTER,Value_SP500_SALES_GROWTH_QUARTER,Value_SP500_REAL_SALES_GROWTH_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_YEAR,Value_SP500_REAL_SALES_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_QUARTER,Value_SP500_EARNINGS_GROWTH_QUARTER,Value_SP500_REAL_SALES_QUARTER,Value_SP500_EARNINGS_MONTH,Value_SP500_BVPS_YEAR,Value_SP500_EARNINGS_YEAR,Value_SP500_EARNINGS_GROWTH_YEAR,Value_SP500_BVPS_QUARTER
,5.92,,,,,,5.83,,,,,,,,,,,,,,,,,,,,,,,8.31,,,,
5.11,,11.68,11.95,8.56,97.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.02,,,,,,5.88,,,,,,,,,,,,,,,,,,,,,,,8.36,,,,
5.04,,11.45,11.78,8.73,96.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.15,,,,,,5.93,,,,,,,,,,,,,,,,,,,,,,,8.41,,,,
5.05,,11.41,12.05,8.76,98.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.19,,,,,,6.11,,,,,,,,,,,,,,,,,,,,,,,8.65,,,,
4.98,,11.19,12.22,8.94,100.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.33,,,,,,6.34,,,,,,,,,,,,,,,,,,,,,,,8.96,,,,
4.97,,11.11,12.16,9.0,100.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.39,,,,,,6.39,,,,,,,,,,,,,,,,,,,,,,,9.01,,,,
4.97,,11.04,12.12,9.05,100.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.44,,,,,,6.44,,,,,,,,,,,,,,,,,,,,,,,9.06,,,,
4.59,,10.14,11.16,9.86,92.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.03,,,,,,6.49,,,,,,,,,,,,,,,,,,,,,,,9.11,,,,
4.19,,9.21,10.4,10.86,86.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.76,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,9.38,,,,
4.04,,8.83,10.31,11.32,85.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.11,,,,,,6.97,,,,,,,,,,,,,,,,,,,,,,,9.73,,,,
4.42,,9.61,10.96,10.41,91.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.47,,,,,,6.85,6.85,,,,,,7.47,,,,,,,,,,,,,,,,9.55,,9.55,,
4.66,,10.13,11.33,9.87,95.27,,,,,,,11.33,10.13,,,9.87,,95.27,,,,,,,,,,,,,,,,
,7.08,,,,,,6.75,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,
4.8,,10.43,11.63,9.58,98.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
