Value_SP500_REAL_PRICE_MONTH,Value_SP500_DIV_YIELD_MONTH,Value_SP500_PE_RATIO_MONTH,Value_SHILLER_PE_RATIO_MONTH,Value_SP500_EARNINGS_YIELD_MONTH,Value_SP500_INFLADJ_MONTH,Value_SP500_PSR_QUARTER,Value_SP500_DIV_MONTH,Value_SP500_DIV_YEAR,Value_SP500_DIV_GROWTH_YEAR,Value_SP500_DIV_GROWTH_QUARTER,Value_SP500_PBV_RATIO_QUARTER,Value_SHILLER_PE_RATIO_YEAR,Value_SP500_PE_RATIO_YEAR,Value_SP500_DIV_YIELD_YEAR,Value_SP500_PSR_YEAR,Value_SP500_EARNINGS_YIELD_YEAR,Value_SP500_PBV_RATIO_YEAR,Value_SP500_INFLADJ_YEAR,Value_SP500_SALES_YEAR,Value_SP500_SALES_GROWTH_YEAR,Value_SP500_SALES_QUARTER,Value_SP500_REAL_SALES_GROWTH_QUARTER,Value_SP500_SALES_GROWTH_QUARTER,Value_SP500_REAL_SALES_GROWTH_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_YEAR,Value_SP500_REAL_SALES_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_QUARTER,Value_SP500_EARNINGS_GROWTH_QUARTER,Value_SP500_REAL_SALES_QUARTER,Value_SP500_EARNINGS_MONTH,Value_SP500_BVPS_YEAR,Value_SP500_EARNINGS_YEAR,Value_SP500_EARNINGS_GROWTH_YEAR,Value_SP500_BVPS_QUARTER
4.79,5.465,11.98,12.55,8.35,101.88,1.77,5.485,5.179545454545455,13.38,13.38,5.05,11.9,11.665833333333333,5.641363636363637,1.77,8.584166666666667,5.05,94.2225,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.44,290.68,7.967272727272727,-3.71,290.68
4.8149999999999995,5.43,12.04,12.43,8.305,101.185,1.77,5.53,5.181818181818182,13.38,13.38,5.05,11.9,11.70625,5.624545454545455,1.77,8.553749999999999,5.05,94.51625,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.51,290.68,7.970909090909091,-3.71,290.68
4.84,5.4,12.1,12.31,8.26,100.49,1.77,5.465,5.1840909090909095,13.38,13.38,5.05,11.9,11.746666666666666,5.607727272727273,1.77,8.523333333333333,5.05,94.81,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.405000000000001,290.68,7.974545454545455,-3.71,290.68
4.715,5.37,11.79,11.89,8.485,97.16499999999999,1.77,5.4,5.1863636363636365,13.38,13.38,5.05,11.9,11.787083333333333,5.590909090909091,1.77,8.492916666666666,5.05,95.10374999999999,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.3,290.68,7.9781818181818185,-3.71,290.68
4.59,5.515000000000001,11.48,11.47,8.71,93.84,1.77,5.36,5.1886363636363635,13.38,13.38,5.05,11.9,11.8275,5.574090909090909,1.77,8.462499999999999,5.05,95.3975,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.24,290.68,7.9818181818181815,-3.71,290.68
4.615,5.66,11.54,11.535,8.665,94.35,1.77,5.32,5.190909090909091,13.38,13.38,5.05,11.9,11.867916666666666,5.557272727272728,1.77,8.432083333333333,5.05,95.69125,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.18,290.68,7.985454545454545,-3.71,290.68
4.64,5.63,11.6,11.6,8.62,94.86,1.77,5.32,5.193181818181818,13.38,13.38,5.05,11.9,11.908333333333333,5.540454545454546,1.77,8.401666666666666,5.05,95.985,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.18,290.68,7.989090909090909,-3.71,290.68
4.6899999999999995,5.6,11.725,11.594999999999999,8.53,94.81,1.77,5.32,5.195454545454545,13.38,13.38,5.05,11.9,11.94875,5.5236363636363635,1.77,8.37125,5.05,96.27875,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.18,290.68,7.992727272727273,-3.71,290.68
4.74,5.545,11.85,11.59,8.44,94.76,1.77,5.26,5.197727272727273,13.38,13.38,5.05,11.9,11.989166666666668,5.506818181818182,1.77,8.340833333333332,5.05,96.57249999999999,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.09,290.68,7.996363636363636,-3.71,290.68
4.800000000000001,5.49,11.96,11.745000000000001,8.36,95.96000000000001,1.77,5.2,5.2,13.38,13.38,5.05,11.9,12.029583333333333,5.49,1.77,8.310416666666667,5.05,96.86625,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.0,290.68,8.0,-3.71,290.68
